Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Lacticaseibacillus paracasei ATCC 334		strain: ATCC 334	321967	ASM1452v1	GCF_000014525.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2895264	2924325	2006-10-13	2855	PRJNA402	SAMN02598528
Lacticaseibacillus paracasei		strain: Zhang	1597	ASM1924v3	GCF_000019245.4	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2861969	2898456	2015-02-05	2753	PRJNA28537	SAMN02603933
Lacticaseibacillus paracasei		strain: BL23	1597	ASM2648v1	GCF_000026485.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3079196	3079196	2008-06-19	3034	PRJEA30359	SAMEA2272724
Lacticaseibacillus paracasei subsp. paracasei 8700:2		strain: 362.5013889	537973	ASM15551v2	GCF_000155515.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2939026	3025352	2013-08-21	2953	PRJNA30077	SAMN02463682
Lacticaseibacillus paracasei		strain: BD-II	1597	ASM19476v1	GCF_000194765.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3069926	3127288	2011-04-01	3086	PRJNA64431	SAMN02603876
Lacticaseibacillus paracasei		strain: LC2W	1597	ASM19478v1	GCF_000194785.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3039042	3077434	2011-04-01	3016	PRJNA64433	SAMN02603877
Lacticaseibacillus paracasei		strain: W56	1597	ASM31803v1	GCF_000318035.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3075780	3132096	2012-09-20	3095	PRJEB219	SAMEA2271945
Lacticaseibacillus paracasei		strain: LcY	1597	LcY_assembly050913	GCF_000388095.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	303220	3102374	2014-01-14	3055	PRJNA196992	SAMN02046319
Lacticaseibacillus paracasei		strain: LOCK919	1597	ASM41851v1	GCF_000418515.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3113601	3143369	2013-07-08	3069	PRJNA196824	SAMN02603330
Lacticaseibacillus paracasei N1115		strain: N1115	1446494	ASM58266v1	GCF_000582665.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2938059	3064279	2014-02-14	3060	PRJNA234304	SAMN03081525
Lacticaseibacillus paracasei subsp. paracasei		strain: JCM 8130	47714	ASM82903v1	GCF_000829035.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2995875	3017804	2013-08-14	2972	PRJDB478	SAMD00010723
Lacticaseibacillus paracasei		strain: CAUH35	1597	ASM119156v1	GCF_001191565.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2770411	2973347	2015-08-03	2966	PRJNA290442	SAMN03892742
